categorie_interne;categorie_fr;groupe_uicategory;nom_interne;nom_fr;touche
seat_general;Véhicules : sièges et modes d’opérateur;;v_emergency_exit;Siège de sortie d’urgence;u+lshift
seat_general;Véhicules : sièges et modes d’opérateur;;v_eject;S’éjecter;ralt+y
seat_general;Véhicules : sièges et modes d’opérateur;;v_view_look_behind;Regarder derrière;comma
seat_general;Véhicules : sièges et modes d’opérateur;;v_toggle_mining_mode;Mode Extraction minière (ON/OFF);m
seat_general;Véhicules : sièges et modes d’opérateur;;v_toggle_salvage_mode;Mode Récupération (ON/OFF);m
seat_general;Véhicules : sièges et modes d’opérateur;;v_toggle_refuel_mode;(libellé non trouvé: ui_CIRefuelMode);m
seat_general;Véhicules : sièges et modes d’opérateur;;v_toggle_scan_mode;Mode Scan (ON/OFF);v
seat_general;Véhicules : sièges et modes d’opérateur;;v_toggle_quantum_mode;Système de voyage quantique (ON/OFF);non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_toggle_missile_mode;Mode Tir de missiles (ON/OFF);non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_toggle_guns_mode;(libellé non trouvé: ui_v_toggle_guns_mode);non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_toggle_flight_mode;(libellé non trouvé: ui_v_toggle_flight_mode);non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_set_mining_mode;(libellé non trouvé: ui_v_set_mining_mode);non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_set_salvage_mode;(libellé non trouvé: ui_v_set_salvage_mode);non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_set_refuel_mode;(libellé non trouvé: ui_v_set_refuel_mode);non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_set_scan_mode;(libellé non trouvé: ui_v_set_scan_mode);non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_set_quantum_mode;(libellé non trouvé: ui_v_set_quantum_mode);non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_set_missile_mode;(libellé non trouvé: ui_v_set_missile_mode);non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_set_guns_mode;(libellé non trouvé: ui_v_set_guns_mode);non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_set_flight_mode;(libellé non trouvé: ui_v_set_flight_mode);non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_enter_remote_turret_1;(EN) Enter Remote Turret 1;non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_enter_remote_turret_2;(EN) Enter Remote Turret 2;non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_enter_remote_turret_3;(EN) Enter Remote Turret 3;non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_operator_mode_cycle_forward;(EN) Next Operator Mode;mouse3
seat_general;Véhicules : sièges et modes d’opérateur;;v_operator_mode_cycle_back;(EN) Previous Operator Mode;non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_light_amplification_toggle;(EN) Light Amplification Toggle;ralt+l
seat_general;Véhicules : sièges et modes d’opérateur;;v_light_amplification_on;(EN) Light Amplification On;non assigné
seat_general;Véhicules : sièges et modes d’opérateur;;v_light_amplification_off;(EN) Light Amplification Off;non assigné
spaceship_general;Véhicules : cockpit;VOL;v_self_destruct;Autodestruction;backspace
spaceship_general;Véhicules : cockpit;VOL;v_cooler_throttle_up;Augmenter le taux de refroidissement;non assigné
spaceship_general;Véhicules : cockpit;VOL;v_cooler_throttle_down;Réduire le taux de refroidissement;non assigné
spaceship_general;Véhicules : cockpit;VOL;spectate_enterpuremode;(libellé non trouvé);non assigné
spaceship_general;Véhicules : cockpit;VOL;v_flightready;Préparation systèmes de vol;ralt+r
spaceship_general;Véhicules : cockpit;VOL;v_toggle_all_doors;Ouvrir/Fermer portes (ON/OFF);non assigné
spaceship_general;Véhicules : cockpit;VOL;v_open_all_doors;Ouvre toutes les portes.;non assigné
spaceship_general;Véhicules : cockpit;VOL;v_close_all_doors;Ferme toutes les portes.;non assigné
spaceship_general;Véhicules : cockpit;VOL;v_toggle_all_doorlocks;Verrouiller/Déverrouiller portes (ON/OFF);non assigné
spaceship_general;Véhicules : cockpit;VOL;v_lock_all_doors;Verrouille toutes les portes.;non assigné
spaceship_general;Véhicules : cockpit;VOL;v_unlock_all_doors;Déverrouiller toutes les portes;non assigné
spaceship_general;Véhicules : cockpit;VOL;v_toggle_all_portlocks;Verrouiller tous les ports (ON/OFF);ralt+K
spaceship_general;Véhicules : cockpit;VOL;v_lock_all_ports;Verrouiller tous les ports;non assigné
spaceship_general;Véhicules : cockpit;VOL;v_unlock_all_ports;Déverrouiller tous les ports;non assigné
spaceship_general;Véhicules : cockpit;VOL;pc_conversation_option1;(libellé non trouvé);1
spaceship_general;Véhicules : cockpit;VOL;pc_conversation_option2;(libellé non trouvé);2
spaceship_general;Véhicules : cockpit;VOL;pc_conversation_option3;(libellé non trouvé);3
spaceship_general;Véhicules : cockpit;VOL;pc_conversation_option4;(libellé non trouvé);4
spaceship_general;Véhicules : cockpit;VOL;pc_conversation_option5;(libellé non trouvé);5
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_interact_cycle_forwards_short;Changer la vue des E.M.F. : En avant (appuyer);lalt+e
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_interact_cycle_forwards_long;Changer la vue des E.M.F. : En avant (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_interact_cycle_backwards_short;Changer la vue des E.M.F. : En arrière (appuyer);lalt+q
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_interact_cycle_backwards_long;Changer la vue des E.M.F. : En arrière (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_movement_up_short;Déplacer la sélection E.M.F. : Vers le haut (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_movement_up_long;Déplacer la sélection E.M.F. : Vers le haut (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_movement_down_short;Déplacer la sélection E.M.F. : Vers le bas (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_movement_down_long;Déplacer la sélection E.M.F. : Vers le bas (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_movement_left_short;Déplacer la sélection E.M.F. : Vers la gauche (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_movement_left_long;Déplacer la sélection E.M.F. : Vers la gauche (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_movement_right_short;Déplacer la sélection E.M.F. : Vers la droite (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_movement_right_long;Déplacer la sélection E.M.F. : Vers la droite (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_primary_short;Sélection : E.M.F. principal (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_primary_long;Sélection : E.M.F. principal (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_cast_left_short;Sélection : E.M.F. de gauche (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_cast_left_long;Sélection : E.M.F. de gauche (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_cast_right_short;Sélection : E.M.F. de droite (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_cast_right_long;Sélection : E.M.F. de droite (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_1_short;Sélection : E.M.F. 1 (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_1_long;Sélection : E.M.F. 1 (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_2_short;Sélection : E.M.F. 2 (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_2_long;Sélection : E.M.F. 2 (maintenir);non assigné
